代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12951030.000000000000
真實報酬,2951030.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11663.391950624633
風險,167128.152070507700
起點值,0.069787117288
找到最佳解世代,1472
找到最佳解實驗#,1
找到最佳解次數,20

投資組合檔數,8
1101(0)[18],1216(2)[1],2301(13)[12],2412(27)[10],2881(33)[3],3008(42)[14],3045(43)[23],9999(50)[39],
Stock#,1101(0)[18],1216(2)[1],2301(13)[12],2412(27)[10],2881(33)[3],3008(42)[14],3045(43)[23],9999(50)[39],
張數,48,38,47,18,54,2,17,-1,
FS( 120 ),1457360.000000000200,1571480.000000000000,1385359.999999999800,1324160.000000000000,1504880.000000000200,1557100.000000000000,1411840.000000000000,1250000.000000000000,11462180.000000000000
FS( 121 ),1448240.000000000000,1574140.000000000000,1392410.000000000000,1324160.000000000000,1536200.000000000000,1612860.000000000000,1398750.000000000000,1250000.000000000000,11536760.000000000000
FS( 122 ),1448240.000000000000,1523219.999999999800,1364210.000000000000,1322720.000000000200,1507580.000000000000,1633300.000000000000,1372400.000000000000,1250000.000000000000,11421670.000000000000
FS( 123 ),1410800.000000000200,1531960.000000000000,1355750.000000000000,1318580.000000000200,1494080.000000000000,1594280.000000000000,1352850.000000000000,1250000.000000000000,11308300.000000000000
FS( 124 ),1380560.000000000000,1523219.999999999800,1337890.000000000000,1314260.000000000000,1498400.000000000000,1598000.000000000000,1365940.000000000000,1250000.000000000000,11268270.000000000000
FS( 125 ),1410800.000000000200,1512199.999999999800,1392410.000000000000,1311379.999999999800,1500560.000000000000,1573840.000000000000,1359310.000000000000,1250000.000000000000,11310500.000000000000
FS( 126 ),1429520.000000000200,1537660.000000000000,1376900.000000000000,1324160.000000000000,1518380.000000000200,1607280.000000000000,1372400.000000000000,1250000.000000000000,11416300.000000000000
FS( 127 ),1455920.000000000200,1551719.999999999800,1367970.000000000000,1307239.999999999800,1520540.000000000000,1598000.000000000000,1372400.000000000000,1250000.000000000000,11423790.000000000000
FS( 128 ),1461200.000000000200,1537660.000000000000,1366089.999999999800,1321280.000000000000,1524860.000000000000,1590560.000000000000,1392120.000000000000,1250000.000000000000,11443770.000000000000
FS( 129 ),1463120.000000000200,1531960.000000000000,1369850.000000000000,1335320.000000000000,1562120.000000000000,1599840.000000000000,1411840.000000000000,1250000.000000000000,11524050.000000000000
