代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14442820.000000000000
真實報酬,4442820.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,17968.894777795002
風險,415114.784954566510
起點值,0.043286568990
找到最佳解世代,1344
找到最佳解實驗#,2
找到最佳解次數,43

投資組合檔數,4
2308(12)[1],2603(28)[2],2912(40)[4],8046(47)[19],
Stock#,2308(12)[1],2603(28)[2],2912(40)[4],8046(47)[19],
張數,37,184,41,27,
FS( 157 ),3320290.000000000000,3427360.000000000000,3381090.000000000500,3210369.999999999500,13339110.000000000000
FS( 158 ),3248879.999999999500,3589279.999999999500,3381090.000000000500,3210369.999999999500,13429620.000000000000
FS( 159 ),3106429.999999999500,3635279.999999999500,3365100.000000000000,3131800.000000000000,13238610.000000000000
FS( 160 ),3120859.999999999500,3688640.000000000000,3348700.000000000500,3154210.000000000000,13312410.000000000000
FS( 161 ),3191899.999999999500,3696000.000000000500,3397490.000000000500,3064300.000000000000,13349690.000000000000
FS( 162 ),3220389.999999999500,3611360.000000000000,3397490.000000000500,3052960.000000000000,13282200.000000000000
FS( 163 ),3263309.999999999500,3627920.000000000000,3429880.000000000900,3041890.000000000000,13363000.000000000000
FS( 164 ),3234819.999999999500,3642640.000000000000,3446280.000000000500,3030550.000000000000,13354290.000000000000
FS( 165 ),3177839.999999999500,3657360.000000000000,3429880.000000000900,2974390.000000000000,13239470.000000000000
FS( 166 ),3263309.999999999500,3642640.000000000000,3429880.000000000900,3064300.000000000000,13400130.000000000000
FS( 167 ),3234819.999999999500,3635279.999999999500,3478670.000000000900,3075640.000000000000,13424410.000000000000
FS( 168 ),3248879.999999999500,3719920.000000000000,3499170.000000000900,3030550.000000000000,13498520.000000000000
FS( 169 ),3248879.999999999500,3688640.000000000000,3549600.000000000000,2951710.000000000000,13438830.000000000000
FS( 170 ),3149350.000000000000,3710720.000000000000,3566410.000000000500,3019210.000000000000,13445690.000000000000
FS( 171 ),3177839.999999999500,3780640.000000000000,3768540.000000000000,3052960.000000000000,13779980.000000000000
FS( 172 ),3206329.999999999500,3826640.000000000000,3869400.000000000900,2985460.000000000000,13887830.000000000000
FS( 173 ),3206329.999999999500,3902080.000000000000,3700890.000000000500,2816710.000000000000,13626010.000000000000
FS( 174 ),3163409.999999999100,3719920.000000000000,3616840.000000000500,2625550.000000000000,13125720.000000000000
FS( 175 ),3163409.999999999100,3734640.000000000000,3583220.000000000500,2603140.000000000000,13084410.000000000000
FS( 176 ),3163409.999999999100,3802720.000000000000,3768540.000000000000,2636890.000000000000,13371560.000000000000
FS( 177 ),3134919.999999999500,3719920.000000000000,3869400.000000000900,2614480.000000000000,13338720.000000000000
FS( 178 ),3263309.999999999500,3519360.000000000000,3869400.000000000900,2659300.000000000000,13311370.000000000000
FS( 179 ),3391329.999999999500,3504640.000000000000,3818970.000000000500,2704390.000000000000,13419330.000000000000
FS( 180 ),3348779.999999999500,3558000.000000000500,3802160.000000000500,2681980.000000000000,13390920.000000000000
FS( 181 ),3377269.999999999500,3535920.000000000000,3818970.000000000500,2704390.000000000000,13436550.000000000000
