代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13708535.708799999000
真實報酬,3708535.708799999200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15807.865054693799
風險,326742.497732478780
起點值,0.048380192856
找到最佳解世代,1364
找到最佳解實驗#,3
找到最佳解次數,19

投資組合檔數,7
1303(4)[14],1326(5)[15],2002(8)[1],2354(20)[16],3045(41)[7],3231(42)[20],9999(49)[44],
Stock#,1303(4)[14],1326(5)[15],2002(8)[1],2354(20)[16],3045(41)[7],3231(42)[20],9999(49)[44],
張數,44,38,86,27,41,77,-1,
FS( 99 ),1631410.999999999800,1666071.000000000000,1757951.000000000200,1544400.999999999800,1617171.000000000200,2232451.000000000000,1428571.000000000000,11878030.000000000000
FS( 100 ),1631410.999999999800,1671391.000000000000,1735591.000000000000,1526310.999999999800,1605691.000000000200,2172391.000000000000,1428571.000000000000,11771360.000000000000
FS( 101 ),1634490.999999999800,1621611.000000000000,1735591.000000000000,1516590.999999999800,1660220.999999999800,2077681.000000000000,1428571.000000000000,11674760.000000000000
FS( 102 ),1615571.000000000000,1595391.000000000000,1735591.000000000000,1513350.999999999800,1668831.000000000000,2123111.000000000500,1428571.000000000000,11680420.000000000000
FS( 103 ),1585210.999999999800,1595391.000000000000,1729571.000000000000,1510110.999999999500,1735250.999999999800,2187021.000000000000,1428571.000000000000,11771130.000000000000
FS( 104 ),1590051.000000000000,1608691.000000000000,1720970.999999999800,1490400.999999999800,1743861.000000000000,2091541.000000000000,1428571.000000000000,11674090.000000000000
FS( 105 ),1663090.999999999800,1616291.000000000200,1752791.000000000000,1514970.999999999800,1743861.000000000000,2109251.000000000000,1428571.000000000000,11828830.000000000000
FS( 106 ),1682450.999999999500,1642511.000000000000,1729571.000000000000,1536300.999999999800,1740990.999999999800,2120031.000000000000,1428571.000000000000,11880430.000000000000
FS( 107 ),1704450.999999999500,1666071.000000000000,1749351.000000000000,1537920.999999999800,1723771.000000000000,2126961.000000000000,1428571.000000000000,11937100.000000000000
FS( 108 ),1647250.999999999800,1618951.000000000000,1729571.000000000000,1510110.999999999500,1712291.000000000000,2091541.000000000000,1428571.000000000000,11738290.000000000000
FS( 109 ),1666610.999999999800,1624270.999999999800,1712371.000000000000,1500120.999999999800,1697941.000000000200,2109251.000000000000,1428571.000000000000,11739140.000000000000
FS( 110 ),1692130.999999999800,1647831.000000000000,1729571.000000000000,1526310.999999999800,1735250.999999999800,2190101.000000000000,1428571.000000000000,11949770.000000000000
FS( 111 ),1704450.999999999500,1674051.000000000000,1752791.000000000000,1521450.999999999800,1749601.000000000000,2165461.000000000000,1428571.000000000000,11996380.000000000000
FS( 112 ),1698290.999999999800,1681651.000000000200,1738171.000000000200,1506600.999999999800,1746730.999999999800,2151601.000000000000,1428571.000000000000,11951620.000000000000
FS( 113 ),1742730.999999999800,1694951.000000000000,1763970.999999999800,1503360.999999999500,1761490.999999999800,2126961.000000000000,1428571.000000000000,12022040.000000000000
FS( 114 ),1755490.999999999800,1697231.000000000000,1749351.000000000000,1565730.999999999800,1746730.999999999800,2137741.000000000000,1428571.000000000000,12080850.000000000000
FS( 115 ),1742730.999999999800,1666071.000000000000,1726990.999999999800,1598400.999999999800,1738121.000000000000,2120031.000000000000,1428571.000000000000,12020920.000000000000
FS( 116 ),1771330.999999999800,1692291.000000000200,1735591.000000000000,1680210.999999999800,1735250.999999999800,2109251.000000000000,1428571.000000000000,12152500.000000000000
FS( 117 ),1803450.999999999500,1726111.000000000000,1763970.999999999800,1745821.000000000000,1755750.999999999800,2077681.000000000000,1428571.000000000000,12301359.999999998000
FS( 118 ),1800370.999999999800,1681651.000000000200,1763970.999999999800,1737450.999999999800,1732381.000000000000,2080760.999999999800,1428571.000000000000,12225160.000000000000
FS( 119 ),1784090.999999999800,1663410.999999999800,1763970.999999999800,1778490.999999999800,1752881.000000000000,2102321.000000000000,1428571.000000000000,12273740.000000000000
FS( 120 ),1768250.999999999800,1671391.000000000000,1746770.999999999800,1762020.999999999800,1752881.000000000000,2091541.000000000000,1428571.000000000000,12221430.000000000000
FS( 121 ),1762090.999999999800,1699891.000000000000,1755371.000000000000,1753920.999999999800,1740990.999999999800,2073831.000000000000,1428571.000000000000,12214670.000000000000
FS( 122 ),1726890.999999999800,1637191.000000000000,1729571.000000000000,1762020.999999999800,1743861.000000000000,2066901.000000000200,1428571.000000000000,12095010.000000000000
FS( 123 ),1733490.999999999800,1660750.999999999800,1740750.999999999800,1876770.999999999800,1709421.000000000200,2088461.000000000200,1428571.000000000000,12238220.000000000000
FS( 124 ),1812690.999999999500,1723451.000000000000,1746770.999999999800,1950480.999999999800,1720901.000000000200,2063821.000000000200,1428571.000000000000,12446690.000000000000
FS( 125 ),1828970.999999999800,1697231.000000000000,1723551.000000000000,1934010.999999999800,1732381.000000000000,2039181.000000000200,1428571.000000000000,12383900.000000000000
FS( 126 ),1777930.999999999500,1650491.000000000000,1726990.999999999800,1917541.000000000000,1740990.999999999800,1989901.000000000000,1428571.000000000000,12232419.999999998000
FS( 127 ),1711051.000000000000,1639851.000000000000,1706351.000000000000,1892971.000000000000,1712291.000000000000,1925991.000000000000,1428571.000000000000,12017080.000000000000
FS( 128 ),1675850.999999999800,1634531.000000000000,1695171.000000000200,1852200.999999999800,1712291.000000000000,1968341.000000000000,1428571.000000000000,11966960.000000000000
FS( 129 ),1675850.999999999800,1632250.999999999800,1683131.000000000000,1835730.999999999800,1706551.000000000000,1972191.000000000000,1428571.000000000000,11934280.000000000000
FS( 130 ),1663090.999999999800,1624270.999999999800,1677111.000000000000,1835730.999999999800,1735250.999999999800,1979121.000000000000,1428571.000000000000,11943150.000000000000
FS( 131 ),1711051.000000000000,1668731.000000000000,1695171.000000000200,1868400.999999999500,1752881.000000000000,1992981.000000000000,1428571.000000000000,12117790.000000000000
FS( 132 ),1701370.999999999800,1653151.000000000200,1677111.000000000000,1843830.999999999500,1746730.999999999800,2021471.000000000200,1428571.000000000000,12072240.000000000000
FS( 133 ),1739650.999999999800,1689631.000000000200,1689151.000000000200,1852200.999999999800,1749601.000000000000,2053041.000000000000,1428571.000000000000,12201850.000000000000
FS( 134 ),1768250.999999999800,1713191.000000000000,1717531.000000000000,1860300.999999999800,1761490.999999999800,2123111.000000000500,1428571.000000000000,12372450.000000000000
FS( 135 ),1790690.999999999500,1736371.000000000000,1735591.000000000000,1958580.999999999500,1749601.000000000000,2091541.000000000000,1428571.000000000000,12490950.000000000000
FS( 136 ),1806530.999999999800,1752331.000000000000,1735591.000000000000,1942110.999999999500,1795931.000000000200,2123111.000000000500,1428571.000000000000,12584180.000000000000
FS( 137 ),1822370.999999999800,1791471.000000000000,1738171.000000000200,1966680.999999999500,1781581.000000000000,2137741.000000000000,1428571.000000000000,12666590.000000000000
FS( 138 ),1800370.999999999800,1775511.000000000000,1723551.000000000000,1958580.999999999500,1778710.999999999800,2176241.000000000000,1428571.000000000000,12641540.000000000000
FS( 139 ),1838210.999999999800,1851511.000000000000,1729571.000000000000,1983150.999999999500,1784450.999999999800,2151601.000000000000,1428571.000000000000,12767070.000000000000
FS( 140 ),1838210.999999999800,1825291.000000000200,1740750.999999999800,1934010.999999999800,1778710.999999999800,2162380.999999999500,1428571.000000000000,12707930.000000000000
FS( 141 ),1841730.999999999800,1804391.000000000000,1787191.000000000200,1958580.999999999500,1804541.000000000000,2162380.999999999500,1428571.000000000000,12787390.000000000000
FS( 142 ),1847890.999999999800,1780831.000000000000,1776010.999999999800,1958580.999999999500,1764361.000000000000,2154681.000000000000,1428571.000000000000,12710930.000000000000
FS( 143 ),1803450.999999999500,1770571.000000000000,1784611.000000000000,1966680.999999999500,1767230.999999999800,2120031.000000000000,1428571.000000000000,12641150.000000000000
FS( 144 ),1771330.999999999800,1765250.999999999800,1781171.000000000200,1958580.999999999500,1770101.000000000000,2144670.999999999500,1428571.000000000000,12619680.000000000000
FS( 145 ),1800370.999999999800,1804391.000000000000,1784611.000000000000,1942110.999999999500,1770101.000000000000,2147751.000000000000,1428571.000000000000,12677910.000000000000
FS( 146 ),1822370.999999999800,1819971.000000000000,1793210.999999999800,1925910.999999999800,1770101.000000000000,2179321.000000000500,1428571.000000000000,12739460.000000000000
FS( 147 ),1790690.999999999500,1804391.000000000000,1781171.000000000200,1917541.000000000000,1770101.000000000000,2197031.000000000000,1428571.000000000000,12689500.000000000000
FS( 148 ),1729970.999999999800,1744351.000000000000,1738171.000000000200,1860300.999999999800,1755750.999999999800,2158531.000000000000,1428571.000000000000,12415650.000000000000
FS( 149 ),1742730.999999999800,1762591.000000000000,1755371.000000000000,1884870.999999999500,1770101.000000000000,2095391.000000000000,1428571.000000000000,12439630.000000000000
FS( 150 ),1800370.999999999800,1804391.000000000000,1761391.000000000200,1860300.999999999800,1781581.000000000000,2113101.000000000000,1428571.000000000000,12549710.000000000000
FS( 151 ),1790690.999999999500,1799071.000000000000,1746770.999999999800,1860300.999999999800,1790191.000000000200,2088461.000000000200,1428571.000000000000,12504060.000000000000
