代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14181870.000000000000
真實報酬,4181870.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19080.356506380045
風險,332614.410139553190
起點值,0.057364792158
找到最佳解世代,1785
找到最佳解實驗#,1
找到最佳解次數,22

投資組合檔數,5
1303(4)[3],2353(19)[1],3045(41)[5],4904(44)[23],9999(49)[48],
Stock#,1303(4)[3],2353(19)[1],3045(41)[5],4904(44)[23],9999(49)[48],
張數,74,47,63,93,-1,
FS( 127 ),2789580.000000000000,3137400.000000000500,2665280.000000000000,2327360.000000000000,2000000.000000000000,12919620.000000000000
FS( 128 ),2822140.000000000000,3198969.999999999500,2660870.000000000000,2327360.000000000000,2000000.000000000000,13009340.000000000000
FS( 129 ),2859140.000000000000,3203199.999999999500,2634410.000000000900,2323640.000000000000,2000000.000000000000,13020390.000000000000
FS( 130 ),2762940.000000000000,3090870.000000000000,2616770.000000000000,2280860.000000000000,2000000.000000000000,12751440.000000000000
FS( 131 ),2795500.000000000000,3082879.999999999500,2594720.000000000000,2290160.000000000000,2000000.000000000000,12763260.000000000000
FS( 132 ),2838420.000000000000,3113900.000000000500,2652050.000000000000,2290160.000000000000,2000000.000000000000,12894530.000000000000
FS( 133 ),2859140.000000000000,3198969.999999999500,2674100.000000000000,2308760.000000000000,2000000.000000000000,13040970.000000000000
FS( 134 ),2848779.999999999100,3191449.999999999500,2669690.000000000000,2311550.000000000000,2000000.000000000000,13021469.999999998000
FS( 135 ),2923520.000000000000,3206960.000000000000,2692370.000000000000,2320850.000000000000,2000000.000000000000,13143700.000000000000
FS( 136 ),2944980.000000000000,3198969.999999999500,2669690.000000000000,2320850.000000000000,2000000.000000000000,13134490.000000000000
FS( 137 ),2923520.000000000000,3144920.000000000000,2656460.000000000000,2308760.000000000000,2000000.000000000000,13033660.000000000000
FS( 138 ),2971620.000000000000,3187690.000000000000,2652050.000000000000,2302250.000000000000,2000000.000000000000,13113610.000000000000
FS( 139 ),3025640.000000000000,3195210.000000000000,2683550.000000000000,2327360.000000000000,2000000.000000000000,13231760.000000000000
FS( 140 ),3020460.000000000000,3187690.000000000000,2647640.000000000000,2323640.000000000000,2000000.000000000000,13179430.000000000000
FS( 141 ),2993080.000000000000,3315060.000000000000,2679140.000000000000,2330150.000000000000,2000000.000000000000,13317430.000000000000
FS( 142 ),2966440.000000000000,3264770.000000000000,2679140.000000000000,2323640.000000000000,2000000.000000000000,13233990.000000000000
FS( 143 ),2956080.000000000000,3233750.000000000500,2660870.000000000000,2327360.000000000000,2000000.000000000000,13178060.000000000000
FS( 144 ),2896880.000000000000,3218240.000000000000,2665280.000000000000,2295740.000000000000,2000000.000000000000,13076140.000000000000
FS( 145 ),2907980.000000000000,3249260.000000000000,2612360.000000000000,2290160.000000000000,2000000.000000000000,13059760.000000000000
FS( 146 ),3041180.000000000000,3257250.000000000500,2630000.000000000000,2290160.000000000000,2000000.000000000000,13218590.000000000000
FS( 147 ),3068560.000000000000,3218240.000000000000,2647640.000000000000,2292949.999999999500,2000000.000000000000,13227390.000000000000
FS( 148 ),2982719.999999999100,3113900.000000000500,2660870.000000000000,2290160.000000000000,2000000.000000000000,13047650.000000000000
FS( 149 ),2870240.000000000000,2978540.000000000000,2616770.000000000000,2286440.000000000000,2000000.000000000000,12751990.000000000000
FS( 150 ),2811040.000000000000,3044340.000000000000,2616770.000000000000,2286440.000000000000,2000000.000000000000,12758590.000000000000
FS( 151 ),2811040.000000000000,3005800.000000000000,2607950.000000000000,2265050.000000000000,2000000.000000000000,12689840.000000000000
FS( 152 ),2789580.000000000000,3013320.000000000000,2652050.000000000000,2265050.000000000000,2000000.000000000000,12720000.000000000000
FS( 153 ),2870240.000000000000,3048100.000000000000,2679140.000000000000,2283650.000000000000,2000000.000000000000,12881130.000000000000
FS( 154 ),2853960.000000000000,3036820.000000000000,2669690.000000000000,2290160.000000000000,2000000.000000000000,12850630.000000000000
FS( 155 ),2918340.000000000000,3059850.000000000000,2674100.000000000000,2292949.999999999500,2000000.000000000000,12945240.000000000000
FS( 156 ),2966440.000000000000,2982300.000000000000,2692370.000000000000,2295740.000000000000,2000000.000000000000,12936850.000000000000
FS( 157 ),3004180.000000000000,3005800.000000000000,2674100.000000000000,2295740.000000000000,2000000.000000000000,12979820.000000000000
FS( 158 ),3030819.999999999100,3056090.000000000000,2745290.000000000000,2286440.000000000000,2000000.000000000000,13118640.000000000000
FS( 159 ),3057460.000000000000,3203199.999999999500,2723240.000000000000,2292949.999999999500,2000000.000000000000,13276850.000000000000
FS( 160 ),3020460.000000000000,3203199.999999999500,2718830.000000000000,2292949.999999999500,2000000.000000000000,13235440.000000000000
FS( 161 ),3084100.000000000000,3214479.999999999500,2727650.000000000000,2299460.000000000000,2000000.000000000000,13325690.000000000000
FS( 162 ),3084100.000000000000,3237979.999999999500,2718830.000000000000,2308760.000000000000,2000000.000000000000,13349670.000000000000
FS( 163 ),3090020.000000000000,3237979.999999999500,2758520.000000000000,2299460.000000000000,2000000.000000000000,13385980.000000000000
FS( 164 ),3100380.000000000000,3237979.999999999500,2696780.000000000000,2302250.000000000000,2000000.000000000000,13337390.000000000000
FS( 165 ),3025640.000000000000,3164190.000000000000,2701190.000000000000,2302250.000000000000,2000000.000000000000,13193270.000000000000
FS( 166 ),2971620.000000000000,3141160.000000000500,2705600.000000000000,2305040.000000000500,2000000.000000000000,13123420.000000000000
FS( 167 ),3020460.000000000000,3164190.000000000000,2705600.000000000000,2305040.000000000500,2000000.000000000000,13195290.000000000000
FS( 168 ),3057460.000000000000,3214479.999999999500,2705600.000000000000,2311550.000000000000,2000000.000000000000,13289090.000000000000
FS( 169 ),3004180.000000000000,3179699.999999999500,2705600.000000000000,2308760.000000000000,2000000.000000000000,13198240.000000000000
FS( 170 ),2902060.000000000000,3102620.000000000000,2683550.000000000000,2290160.000000000000,2000000.000000000000,12978390.000000000000
FS( 171 ),2923520.000000000000,3125650.000000000500,2705600.000000000000,2290160.000000000000,2000000.000000000000,13044930.000000000000
FS( 172 ),3020460.000000000000,3222469.999999999500,2723240.000000000000,2314340.000000000000,2000000.000000000000,13280510.000000000000
FS( 173 ),3004180.000000000000,3214479.999999999500,2736470.000000000000,2308760.000000000000,2000000.000000000000,13263890.000000000000
FS( 174 ),3041180.000000000000,3198969.999999999500,2705600.000000000000,2318060.000000000000,2000000.000000000000,13263810.000000000000
FS( 175 ),3014540.000000000000,3206960.000000000000,2660870.000000000000,2308760.000000000000,2000000.000000000000,13191130.000000000000
FS( 176 ),3047100.000000000000,3257250.000000000500,2679140.000000000000,2314340.000000000000,2000000.000000000000,13297830.000000000000
FS( 177 ),3020460.000000000000,3307540.000000000000,2660870.000000000000,2318060.000000000000,2000000.000000000000,13306930.000000000000
