代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11891368.755999999000
真實報酬,1891368.755999999100

夏普值報酬,0.180436875600
夏普值風險,0.051852065659
夏普值,3.479839680596

預期報酬,8149.089806227402
風險,105656.891757235750
起點值,0.077127858587
找到最佳解世代,5341
找到最佳解實驗#,2
找到最佳解次數,13

投資組合檔數,6
1326(5),2408(23),2892(39),3008(41),3045(42),4904(44),
Stock#,1326(5),2408(23),2892(39),3008(41),3045(42),4904(44),
張數,25,46,130,0,18,26,
FS( 73 ),1848087.581250000000,1632329.047000000000,1748838.382500000100,1666666.000000000000,1820767.046499999900,1755633.872500000100,10472325.929750001000
FS( 74 ),1872728.062500000200,1669424.171499999900,1765663.600000000100,1666666.000000000000,1836895.361500000100,1769870.595000000000,10581251.790500002000
FS( 75 ),1874968.106250000200,1704687.438000000100,1781194.570000000100,1666666.000000000000,1844959.519000000100,1776859.531500000000,10649339.164750000000
FS( 76 ),1888408.368750000400,1665302.491000000200,1787665.807499999900,1666666.000000000000,1844959.519000000100,1779189.176999999900,10632195.363250000000
FS( 77 ),1881688.237500000300,1659348.952499999900,1803196.777500000300,1666666.000000000000,1828831.203999999900,1786178.113500000000,10625913.285000000000
FS( 78 ),1890648.412500000300,1673545.852000000200,1798019.787500000100,1666666.000000000000,1828831.203999999900,1769870.595000000000,10627585.851000002000
FS( 79 ),1883928.281250000500,1638740.550000000000,1803196.777500000300,1666666.000000000000,1853202.879999999900,1781518.822500000000,10627257.311249999000
FS( 80 ),1883928.281250000500,1642862.230499999800,1798019.787500000100,1666666.000000000000,1844959.519000000100,1781518.822500000000,10617958.640750000000
FS( 81 ),1886168.325000000400,1628207.366500000000,1798019.787500000100,1666666.000000000000,1853202.879999999900,1800414.836000000400,10632683.195000002000
FS( 82 ),1939929.375000000500,1659348.952499999900,1825198.985000000100,1666666.000000000000,1869331.195000000100,1819052.000000000200,10779530.507500000000
FS( 83 ),1919768.981250000400,1655227.271999999900,1840729.955000000100,1666666.000000000000,1885459.509999999800,1826299.786000000300,10794155.504249999000
FS( 84 ),1861527.843750000200,1508220.667500000000,1808373.767500000100,1666666.000000000000,1877395.352500000000,1774529.886000000200,10496717.517250001000
FS( 85 ),1861527.843750000200,1508220.667500000000,1820021.994999999900,1666666.000000000000,1893702.870999999800,1800414.836000000400,10550558.213250002000
FS( 86 ),1892888.456250000500,1522417.566999999800,1820021.994999999900,1666666.000000000000,1909831.186000000200,1783848.468000000100,10595677.672250001000
FS( 87 ),1848087.581250000000,1512342.348000000000,1803196.777500000300,1666666.000000000000,1877395.352500000000,1760293.163500000000,10467985.222750001000
FS( 88 ),1843607.493750000400,1553559.152999999700,1820021.994999999900,1666666.000000000000,1893702.870999999800,1769870.595000000000,10547432.107750000000
FS( 89 ),1863767.887500000400,1584700.738999999800,1820021.994999999900,1666666.000000000000,1901767.028500000000,1783848.468000000100,10620776.118000001000
FS( 90 ),1863767.887500000400,1617674.183000000000,1840729.955000000100,1666666.000000000000,1885459.509999999800,1783848.468000000100,10658150.003500002000
FS( 91 ),1881688.237500000300,1603477.283500000100,1840729.955000000100,1666666.000000000000,1885459.509999999800,1800414.836000000400,10678439.822000002000
FS( 92 ),1879448.193750000300,1597065.780499999900,1835552.965000000300,1666666.000000000000,1885459.509999999800,1788507.759000000100,10652704.208249999000
FS( 93 ),1827927.187500000500,1605309.141500000100,1792842.797500000100,1666666.000000000000,1861267.037500000100,1772200.240500000100,10526216.404500000000
FS( 94 ),1836887.362500000500,1611720.644499999900,1803196.777500000300,1666666.000000000000,1869331.195000000100,1767540.949499999900,10555346.929000001000
FS( 95 ),1861527.843750000200,1615842.325000000200,1803196.777500000300,1666666.000000000000,1869331.195000000100,1788507.759000000100,10605075.900250001000
FS( 96 ),1859287.800000000300,1640572.408000000100,1825198.985000000100,1666666.000000000000,1901767.028500000000,1807403.772500000000,10700899.994000003000
FS( 97 ),1861527.843750000200,1652937.449500000100,1830375.975000000100,1666666.000000000000,1954452.857500000200,1844936.950000000200,10810901.075750001000
FS( 98 ),1888408.368750000400,1625917.544000000000,1830375.975000000100,1666666.000000000000,1954452.857500000200,1899036.495500000000,10864861.240750000000
FS( 99 ),1888408.368750000400,1634618.869500000000,1830375.975000000100,1666666.000000000000,1929005.960500000000,1899036.495500000000,10848115.669250000000
FS( 100 ),1886168.325000000400,1634618.869500000000,1835552.965000000300,1666666.000000000000,1920404.192499999900,1894377.204500000200,10837791.556500003000
FS( 101 ),1867501.293750000400,1607598.963999999900,1820021.994999999900,1666666.000000000000,1920404.192499999900,1887388.268000000200,10769584.713250000000
FS( 102 ),1867501.293750000400,1607598.963999999900,1813550.757500000100,1666666.000000000000,1954452.857500000200,1894377.204500000200,10804151.077250002000
FS( 103 ),1900106.375000000200,1632329.047000000000,1840729.955000000100,1666666.000000000000,1980078.958000000100,1934240.027500000300,10954154.362500001000
FS( 104 ),1970543.306250000400,1638740.550000000000,1840729.955000000100,1666666.000000000000,1963054.625499999800,1910943.572500000000,10990682.009250000000
FS( 105 ),1970543.306250000400,1669424.171499999900,1857555.172500000100,1666666.000000000000,1980078.958000000100,1896189.150999999800,11040460.759250002000
FS( 106 ),1970543.306250000400,1677667.532499999700,1857555.172500000100,1666666.000000000000,1937428.525000000100,1883764.375000000200,10993628.911250001000
FS( 107 ),1975272.287500000100,1688200.716000000000,1873086.142500000100,1666666.000000000000,1954452.857500000200,1893600.656000000000,11051282.659499999000
FS( 108 ),1986970.293750000200,1673545.852000000200,1889911.360000000100,1666666.000000000000,1980078.958000000100,1893600.656000000000,11090777.119750001000
FS( 109 ),1996428.256250000300,1684079.035500000000,1895088.350000000100,1666666.000000000000,1971656.393500000000,1873928.094000000000,11087850.129250001000
FS( 110 ),1998668.300000000500,1673545.852000000200,1895088.350000000100,1666666.000000000000,1963054.625499999800,1859173.672499999900,11056200.799999999000
FS( 111 ),2005637.325000000200,1749567.958999999800,1895088.350000000100,1666666.000000000000,1971656.393500000000,1873928.094000000000,11162548.121500000000
FS( 112 ),2003397.281250000200,1738118.846500000000,1889911.360000000100,1666666.000000000000,1929005.960500000000,1871598.448500000200,11098701.896749999000
FS( 113 ),2008126.262500000400,1740408.669000000000,1895088.350000000100,1666666.000000000000,1911981.627999999800,1859173.672499999900,11081448.582000000000
FS( 114 ),2008126.262500000400,1784831.225500000200,1895088.350000000100,1666666.000000000000,1911981.627999999800,1849337.391500000100,11116034.857500002000
FS( 115 ),2012855.243750000400,1758269.284499999800,1895088.350000000100,1666666.000000000000,1929005.960500000000,1849337.391500000100,11111226.230250001000
FS( 116 ),2024553.250000000200,1695986.112500000000,1905442.330000000100,1666666.000000000000,1946030.293000000300,1824746.689000000000,11063428.674500000000
FS( 117 ),1991699.275000000600,1700565.757499999800,1917090.557499999900,1666666.000000000000,1911981.627999999800,1819828.548500000300,11007835.766500000000
FS( 118 ),1998668.300000000500,1709267.083000000100,1922267.547500000100,1666666.000000000000,1929005.960500000000,1841830.756000000100,11067709.647000000000
FS( 119 ),2010366.306250000600,1687284.787000000000,1917090.557499999900,1666666.000000000000,1920404.192499999900,1849337.391500000100,11051153.234750001000
FS( 120 ),2010366.306250000600,1664844.526499999900,1905442.330000000100,1666666.000000000000,1920404.192499999900,1834582.970000000000,11002310.325250002000
FS( 121 ),2012855.243750000400,1669424.171499999900,1900265.340000000300,1666666.000000000000,1920404.192499999900,1819828.548500000300,10989447.496250002000
FS( 122 ),2003397.281250000200,1695986.112500000000,1944269.755000000100,1666666.000000000000,1929005.960500000000,1834582.970000000000,11073912.079250002000
FS( 123 ),2012855.243750000400,1662554.704000000100,1980508.684999999800,1666666.000000000000,1971656.393500000000,1864091.813000000100,11158336.839249998000
FS( 124 ),2022064.312500000200,1642404.266000000100,1980508.684999999800,1666666.000000000000,1997103.290499999900,1856844.027000000000,11165594.581000000000
FS( 125 ),2019824.268750000300,1675835.674500000000,1998628.150000000100,1666666.000000000000,1997103.290499999900,1881434.729500000100,11239496.113250000000
FS( 126 ),2036251.256250000300,1651563.555999999600,1986979.922500000100,1666666.000000000000,2005705.058499999800,1866680.308000000000,11213850.101250000000
FS( 127 ),2043220.281250000200,1651563.555999999600,1980508.684999999800,1666666.000000000000,2014127.622999999900,1881434.729500000100,11237524.874749999000
FS( 128 ),2043220.281250000200,1675835.674500000000,1957212.230000000200,1666666.000000000000,2014127.622999999900,1834582.970000000000,11191648.778750001000
FS( 129 ),2036251.256250000300,1682705.141999999800,1968860.457500000000,1666666.000000000000,1988680.726000000000,1839501.110500000000,11182668.692250000000
FS( 130 ),2019824.268750000300,1657975.058999999900,1975331.695000000100,1666666.000000000000,1980078.958000000100,1866680.308000000000,11166560.288750000000
FS( 131 ),2017335.331250000500,1655685.236500000300,1968860.457500000000,1666666.000000000000,1980078.958000000100,1856844.027000000000,11145474.010250002000
FS( 132 ),1996428.256250000300,1655685.236500000300,1950740.992500000200,1666666.000000000000,1937428.525000000100,1856844.027000000000,11063797.037250001000
FS( 133 ),1982241.312500000200,1657975.058999999900,1932621.527500000300,1666666.000000000000,1946030.293000000300,1841830.756000000100,11027368.947999999000
FS( 134 ),2015095.287500000300,1662554.704000000100,1944269.755000000100,1666666.000000000000,1946030.293000000300,1856844.027000000000,11091464.066500001000
FS( 135 ),2000908.343750000200,1649273.733500000100,1932621.527500000300,1666666.000000000000,1980078.958000000100,1869009.953499999800,11098562.516249999000
FS( 136 ),1991699.275000000600,1655685.236500000300,1962389.220000000000,1666666.000000000000,1988680.726000000000,1869009.953499999800,11134134.411000002000
FS( 137 ),1991699.275000000600,1695986.112500000000,1962389.220000000000,1666666.000000000000,1988680.726000000000,1854255.532000000400,11159680.865500001000
FS( 138 ),1993939.318750000100,1698275.935000000300,1957212.230000000200,1666666.000000000000,1971656.393500000000,1861762.167500000000,11149516.044750001000
FS( 139 ),1989210.337500000400,1709267.083000000100,1962389.220000000000,1666666.000000000000,1971656.393500000000,1856844.027000000000,11156037.061000001000
FS( 140 ),1975272.287500000100,1691406.467499999800,1950740.992500000200,1666666.000000000000,1937428.525000000100,1834582.970000000000,11056101.242500002000
FS( 141 ),1928231.368750000100,1669424.171499999900,1939092.765000000400,1666666.000000000000,1937428.525000000100,1817240.053499999900,10958086.883750001000
FS( 142 ),1963574.281250000200,1680415.319500000000,1968860.457500000000,1666666.000000000000,1946030.293000000300,1836912.615500000100,11062462.966750000000
FS( 143 ),1977512.331250000300,1702855.579999999800,1968860.457500000000,1666666.000000000000,1954452.857500000200,1861762.167500000000,11132113.393750001000
FS( 144 ),2003397.281250000200,1711556.905499999900,1986979.922500000100,1666666.000000000000,1954452.857500000200,1851667.036999999800,11174724.003750002000
FS( 145 ),2045460.325000000400,1727127.698499999900,2005099.387500000400,1666666.000000000000,1971656.393500000000,1864091.813000000100,11280105.617500000000
FS( 146 ),2047949.262500000400,1753689.639500000300,2016747.615000000200,1666666.000000000000,1980078.958000000100,1849337.391500000100,11314472.866500001000
FS( 147 ),2019824.268750000300,1749567.958999999800,2010276.377500000200,1666666.000000000000,1963054.625499999800,1836912.615500000100,11246305.846249999000
FS( 148 ),2000908.343750000200,1706977.260499999900,1980508.684999999800,1666666.000000000000,1954452.857500000200,1827076.334500000100,11136593.481249999000
FS( 149 ),1954116.318750000300,1749567.958999999800,1986979.922500000100,1666666.000000000000,1937428.525000000100,1831994.475000000100,11126757.200250000000
FS( 150 ),1961085.343750000200,1731707.343499999700,1968860.457500000000,1666666.000000000000,1929005.960500000000,1824746.689000000000,11082075.794250000000
FS( 151 ),1930720.306250000400,1751399.816999999800,1968860.457500000000,1666666.000000000000,1929005.960500000000,1814910.407999999800,11061566.949250000000
FS( 152 ),2005637.325000000200,1782999.367499999900,2016747.615000000200,1666666.000000000000,2005705.058499999800,1849337.391500000100,11327096.757500000000
FS( 153 ),1996428.256250000300,1778419.722500000100,2010276.377500000200,1666666.000000000000,1963054.625499999800,1817240.053499999900,11232089.035250001000
FS( 154 ),2024553.250000000200,1767428.574500000100,2016747.615000000200,1666666.000000000000,1971656.393500000000,1807403.772500000000,11254459.605500001000
FS( 155 ),2040980.237500000000,1780709.544999999700,2016747.615000000200,1666666.000000000000,1980078.958000000100,1812321.913000000200,11297508.268500000000
FS( 156 ),2043220.281250000200,1793990.515499999700,2023218.852500000300,1666666.000000000000,1988680.726000000000,1812321.913000000200,11328102.288250001000
FS( 157 ),2029033.337500000600,1820552.456500000100,2005099.387500000400,1666666.000000000000,1971656.393500000000,1839501.110500000000,11332512.685500002000
FS( 158 ),2045460.325000000400,1825132.101499999900,2016747.615000000200,1666666.000000000000,1963054.625499999800,1849337.391500000100,11366402.058499999000
FS( 159 ),2019824.268750000300,1769260.432499999900,1992156.912500000100,1666666.000000000000,1954452.857500000200,1836912.615500000100,11239277.086749999000
FS( 160 ),2040980.237500000000,1778419.722500000100,1992156.912500000100,1666666.000000000000,1971656.393500000000,1829664.829500000200,11279548.095500002000
FS( 161 ),2040980.237500000000,1802691.841000000000,2016747.615000000200,1666666.000000000000,1963054.625499999800,1831994.475000000100,11322138.794000000000
FS( 162 ),2036251.256250000300,1815972.811500000300,2010276.377500000200,1666666.000000000000,1971656.393500000000,1849337.391500000100,11350164.230250001000
FS( 163 ),2036251.256250000300,1802691.841000000000,2016747.615000000200,1666666.000000000000,1954452.857500000200,1846748.896500000300,11323562.466250002000
FS( 164 ),2050189.306250000400,1800402.018499999800,2005099.387500000400,1666666.000000000000,1937428.525000000100,1836912.615500000100,11296701.852750000000
FS( 165 ),2050189.306250000400,1809561.308500000000,1998628.150000000100,1666666.000000000000,1937428.525000000100,1866680.308000000000,11329157.597750001000
FS( 166 ),2078314.300000000000,1814140.953500000100,1986979.922500000100,1666666.000000000000,1946030.293000000300,1861762.167500000000,11353897.636500001000
FS( 167 ),2099470.268750000300,1809561.308500000000,1980508.684999999800,1666666.000000000000,1954452.857500000200,1861762.167500000000,11372425.287250001000
FS( 168 ),2099470.268750000300,1771550.254999999900,1968860.457500000000,1666666.000000000000,1937428.525000000100,1859173.672499999900,11303153.178749999000
FS( 169 ),2099470.268750000300,1776129.900000000100,1968860.457500000000,1666666.000000000000,1929005.960500000000,1864091.813000000100,11304228.399750002000
FS( 170 ),2129835.306250000400,1778419.722500000100,1975331.695000000100,1666666.000000000000,1937428.525000000100,1864091.813000000100,11351777.061750002000
FS( 171 ),2200272.237500000300,1802691.841000000000,1980508.684999999800,1666666.000000000000,1929005.960500000000,1864091.813000000100,11443240.537000000000
