代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12866438.483250001000
真實報酬,2866438.483250001400

夏普值報酬,0.277943848325
夏普值風險,0.076569078481
夏普值,3.629975100097

預期報酬,11733.674723739314
風險,255753.474140332140
起點值,0.045878847836
找到最佳解世代,3057
找到最佳解實驗#,2
找到最佳解次數,31

投資組合檔數,4
1326(5),2912(40),3045(41),8046(47),
Stock#,1326(5),2912(40),3045(41),8046(47),
張數,62,41,68,27,
FS( 187 ),3088064.915999999300,2971184.546000000100,2938435.015000000100,2993026.324750000100,11990710.801750001000
FS( 188 ),2994859.184500000000,2903017.525750000000,2910001.392999999700,2917492.049500000200,11725370.152749998000
FS( 189 ),2935602.560499999700,2880159.123749999800,2910001.392999999700,2798948.934250000400,11524712.011499999000
FS( 190 ),2994859.184500000000,2954857.115999999900,2947912.889000000000,2917492.049500000200,11815121.239000000000
FS( 191 ),2986217.593500000000,2945060.658000000300,2966868.637000000100,2939265.274750000300,11837412.163250001000
FS( 192 ),2918319.378499999600,2935264.199999999300,2981085.448000000800,2809701.144250000400,11644370.170750000000
FS( 193 ),2969551.667999999600,2954857.115999999900,2985824.384999999800,2841957.774250000200,11752190.943250000000
FS( 194 ),2965230.872499999600,3068332.754499999800,2966868.637000000100,2906739.839500000700,11907172.103499999000
FS( 195 ),2990538.389000000000,3048739.838499999600,3005457.123999999800,3004047.340000000300,12048782.691499999000
FS( 196 ),3049795.012999999800,3100579.428750000400,3081280.115999999900,3014799.550000000300,12246454.107750000000
FS( 197 ),3088064.915999999300,3139357.074999999300,3071802.241999999600,3004047.340000000300,12303271.572999999000
FS( 198 ),3105348.097999999800,3084251.998749999800,3062324.367999999800,2982274.114750000200,12234198.579499999000
FS( 199 ),3210898.959499999900,3119764.159000000500,3114452.674999999800,3047056.180000000600,12492171.973499998000
FS( 200 ),3126334.819000000100,3080986.512749999800,3119191.612000000200,3036303.970000000200,12362816.913750000000
FS( 201 ),3130655.614500000100,3126295.131000000100,3167257.973000000700,3047056.180000000600,12471264.898500003000
FS( 202 ),3151642.335500000000,3171603.749249999900,3157780.098999999900,3047056.180000000600,12528082.363750000000
FS( 203 ),3143000.744500000000,3162215.476999999500,3129346.477000000000,3025551.760000000700,12460114.458500002000
FS( 204 ),3138679.949000000000,3145888.047000000300,3119191.612000000200,2971521.904750000200,12375281.512750002000
FS( 205 ),3122014.023499999700,3100579.428750000400,3076541.179000000000,2960769.694750000300,12259904.325999999000
FS( 206 ),3155963.131000000100,3068332.754499999800,3119191.612000000200,3057808.390000000600,12401295.887500001000
FS( 207 ),3138679.949000000000,2996900.248249999700,3129346.477000000000,2971521.904750000200,12236448.579000000000
FS( 208 ),3181270.647499999500,3087517.484749999800,3153041.162000000000,2906739.839500000700,12328569.133750001000
FS( 209 ),3134976.409999999700,2987103.790250000100,3143563.288000000200,2863730.999500000400,12129374.487750001000
FS( 210 ),3155963.131000000100,3022615.950500000300,3233603.090999999500,2917492.049500000200,12329674.221999999000
FS( 211 ),3228182.141499999900,3006696.706249999300,3147625.233999999200,2906739.839500000700,12289243.921249999000
FS( 212 ),3325708.668499999700,3003431.220249999800,3147625.233999999200,2960769.694750000300,12437534.817499999000
FS( 213 ),3287438.765499999700,3035677.894500000400,3157780.098999999900,3111838.245250000200,12592735.004249999000
FS( 214 ),3291759.560999999800,3116906.858749999700,3163196.026999999800,3176620.310500000100,12748482.757250000000
FS( 215 ),3273859.122499999600,3165480.963000000000,3163196.026999999800,3176620.310500000100,12779156.423000000000
FS( 216 ),3228799.398000000000,3162215.476999999500,3153041.162000000000,3349462.086250000600,12893518.123250000000
FS( 217 ),3215219.754999999900,3126295.131000000100,3132054.440999999600,3316936.651000000100,12790505.978000000000
FS( 218 ),3318918.846999999600,3210789.581249999300,3137470.368999999900,3281185.552750000700,12948364.350000000000
FS( 219 ),3291759.560999999800,3246301.741499999500,3127315.504000000200,3292475.373250000600,12957852.179749999000
FS( 220 ),3246699.836499999700,3440598.158499999900,3163196.026999999800,3124472.092000000600,12974966.114000000000
FS( 221 ),3246699.836499999700,3359369.194250000200,3204492.478000000100,3236295.075999999900,13046856.584749999000
FS( 222 ),3301018.408500000400,3359369.194250000200,3214647.342999999900,3236295.075999999900,13111330.021749999000
FS( 223 ),3309659.999499999900,3359369.194250000200,3220063.271000000200,3236295.075999999900,13125387.540749999000
FS( 224 ),3291759.560999999800,3343449.949999999300,3214647.342999999900,3158072.748250000600,13007929.602249999000
FS( 225 ),3305339.203999999900,3327122.520000000000,3250527.865999999900,3180383.584000000700,13063373.174000001000
FS( 226 ),3246699.836499999700,3375696.624249999900,3281669.452000000000,3090871.435750000600,12994937.348500000000
FS( 227 ),3174480.825999999900,3375696.624249999900,3276253.523999999700,3079581.615250000700,12906012.589500001000
FS( 228 ),3251637.888499999900,3407943.298500000500,3276253.523999999700,3068560.600000000600,13004395.311000001000
FS( 229 ),3215219.754999999900,3424270.728499999700,3287085.379999999900,3057270.779500000600,12983846.642999999000
FS( 230 ),3179418.877999999600,3407943.298500000500,3276253.523999999700,3001359.287500000600,12864974.988000002000
FS( 231 ),3224478.602500000000,3407943.298500000500,3297240.245000000100,3090871.435750000600,13020533.581750002000
FS( 232 ),3242379.040999999300,3456517.402750000400,3266098.658999999500,3102161.256250000600,13067156.359000001000
FS( 233 ),3264600.274999999900,3476926.690250000500,3255943.793999999800,3057270.779500000600,13054741.538750000000
FS( 234 ),3296697.612999999900,3527133.537499999200,3255943.793999999800,2978779.646500000700,13058554.591000000000
FS( 235 ),3305339.203999999900,3543869.153250000000,3255943.793999999800,3045980.959000000700,13151133.110250000000
