代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12765331.417750001000
真實報酬,2765331.417750001000

夏普值報酬,0.267833141775
夏普值風險,0.073738208545
夏普值,3.632216554474

預期報酬,11438.927549633994
風險,148797.059166277900
起點值,0.076876032455
找到最佳解世代,4446
找到最佳解實驗#,2
找到最佳解次數,24

投資組合檔數,7
2325(18),2412(26),2474(28),2882(33),2891(38),2912(40),3008(41),
Stock#,2325(18),2412(26),2474(28),2882(33),2891(38),2912(40),3008(41),
張數,57,19,12,50,126,9,1,
FS( 140 ),1588852.335250000000,1537063.622000000200,1695551.568999999900,1604536.049999999800,1747639.193499999800,1798172.130250000200,1594124.403750000100,11565942.303750001000
FS( 141 ),1636520.466250000300,1533847.914750000000,1733184.304000000000,1625443.125000000000,1770218.834499999600,1854083.622250000200,1603522.631750000200,11756823.898500001000
FS( 142 ),1629710.733250000300,1523065.837499999900,1759945.360000000300,1625443.125000000000,1778999.805999999600,1850051.543500000100,1617619.973749999900,11784839.379000001000
FS( 143 ),1629710.733250000300,1527605.659500000100,1754569.255000000100,1628927.637500000000,1773982.107999999800,1858026.099250000200,1622319.087749999900,11795143.580250002000
FS( 144 ),1602471.801250000500,1516823.582250000000,1711679.884000000100,1602544.899999999900,1733840.524000000000,1838134.510750000100,1596941.881000000100,11602440.083250001000
FS( 145 ),1607011.623249999900,1521363.404249999900,1706303.779000000100,1621460.825000000200,1761437.862999999700,1822185.399250000200,1602576.835500000000,11642342.729250001000
FS( 146 ),1582610.080000000100,1533847.914750000000,1711679.884000000100,1602544.899999999900,1725059.552499999800,1842076.987750000100,1603522.631750000200,11601344.950750001000
FS( 147 ),1586582.424249999900,1523065.837499999900,1781449.780000000000,1613994.012500000000,1733840.524000000000,1794229.653250000200,1604458.472250000100,11637623.703749999000
FS( 148 ),1622901.000250000000,1515121.149000000000,1749193.149999999900,1610011.712499999900,1747639.193499999800,1790197.574500000100,1598823.517750000100,11633890.297500001000
FS( 149 ),1652409.843250000200,1519850.130249999900,1808210.836000000400,1664768.337499999900,1773982.107999999800,1810178.764750000100,1627018.201750000000,11856421.221499998000
FS( 150 ),1643330.199250000100,1523065.837499999900,1813586.940999999600,1655310.375000000000,1773982.107999999800,1838134.510750000100,1636416.429750000100,11883829.401249997000
FS( 151 ),1656949.665250000500,1518336.856250000000,1733184.304000000000,1681693.112500000000,1778999.805999999600,1802204.209000000500,1608221.745750000000,11779592.698750000000
FS( 152 ),1647870.021250000200,1510392.167750000000,1749193.149999999900,1713551.512499999700,1782763.079499999300,1826127.876250000000,1608221.745750000000,11838122.552999999000
FS( 153 ),1620631.089250000400,1508878.893749999800,1770697.570000000100,1754867.875000000000,1782763.079499999300,1838134.510750000100,1603522.631750000200,11879498.650000000000
