代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13353851.322749998000
真實報酬,3353851.322749998400

夏普值報酬,0.326685132275
夏普值風險,0.075144796512
夏普值,4.347408569062

預期報酬,12521.176600303364
風險,142903.070057433330
起點值,0.087620067191
找到最佳解世代,4104
找到最佳解實驗#,4
找到最佳解次數,5

投資組合檔數,12
1301(3),1303(4),1326(5),2227(11),2317(16),2357(20),2408(23),2474(27),2801(28),2882(31),2885(34),2892(39),
Stock#,1301(3),1303(4),1326(5),2227(11),2317(16),2357(20),2408(23),2474(27),2801(28),2882(31),2885(34),2892(39),
張數,11,15,11,4,12,3,23,3,57,24,85,58,
FS( 62 ),854901.780749999920,884988.319999999950,886387.017499999960,904151.337999999990,911997.328999999910,900016.517750000120,900292.503249999950,902965.155499999990,860890.889749999970,944493.470000000200,921581.019999999900,900721.271499999920,10773390.613000000000
FS( 63 ),859063.284249999910,877969.516249999750,895695.643749999930,894952.225000000090,914267.239999999870,911246.603750000010,904872.148250000090,905862.278750000060,863728.278500000130,943298.780000000260,925812.213750000000,900721.271499999920,10797493.483750001000
FS( 64 ),866400.671999999900,893500.486249999840,895695.643749999930,900487.621999999970,917731.840999999900,912650.364500000140,917008.207500000020,924708.513500000000,876780.266750000070,952617.362000000310,934274.601249999950,911692.508000000150,10903552.088500001000
FS( 65 ),862239.168499999910,890663.097499999920,893614.891999999990,900487.621999999970,918926.530999999840,911246.603750000010,923648.692750000160,910222.897250000040,873942.878000000030,944493.470000000200,930043.407499999860,908805.340500000050,10868338.600750003000
FS( 66 ),868481.423749999730,893500.486249999840,893614.891999999990,900487.621999999970,925736.263999999970,907035.321500000080,917008.207500000020,882685.292750000020,868835.578250000140,947838.602000000190,930043.407499999860,911692.508000000150,10846963.605500000000
FS( 67 ),872642.927249999830,899175.263750000040,899747.633999999960,904151.337999999990,923466.352999999890,898612.756999999980,915863.296249999900,875457.418249999990,863728.278500000130,945688.160000000030,930043.407499999860,906495.606499999990,10835076.439999999000
FS( 68 ),875709.298249999760,899175.263750000040,899747.633999999960,898655.763999999970,936130.066999999920,907035.321500000080,920442.941250000030,878354.541500000050,873942.878000000030,942104.089999999970,925812.213750000000,903608.439000000130,10860722.452000000000
FS( 69 ),876804.430749999940,901863.316249999920,912122.631249999860,896823.905999999960,941864.578999999910,907035.321500000080,922732.763750000040,889943.034500000070,873942.878000000030,957157.184000000120,930043.407499999860,898411.537499999980,10908748.990000000000
FS( 70 ),871547.794749999880,900519.289999999920,921431.257499999950,891288.509000000080,944134.489999999870,907035.321500000080,920442.941250000030,884148.788000000060,865998.189499999980,941148.338000000110,913964.871249999970,895524.370000000110,10857188.160750002000
FS( 71 ),874723.679000000000,900519.289999999920,921431.257499999950,885792.935000000060,937324.756999999980,900016.517750000120,901437.414499999960,871096.799750000010,860890.889749999970,935413.826000000000,925812.213750000000,890327.468500000080,10804791.048499998000
