代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11143394.200000001117587
真實報酬,1143394.200000001117587

夏普值報酬,0.105639420000000
夏普值風險,0.053528739041538
夏普值,1.973508472112988

二次趨勢線,55.273962161251205 x^2 + -8053.081607234326839 x + 10000000.000000000000000
二次加權預期報酬,10629.517603268584935
風險,191818.100763238238869
二次加權趨勢值,0.055414570162952
一次趨勢線,2455.839565565449448 x + 10000000.000000000000000
一次預期報酬,2455.839565565449448
一次風險,441375.275820873328485
一次趨勢值,0.005564062375261
找到最佳解世代,2634
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MCD[15](2),UNH[23](7),WMT[28](11),
Stock#,JNJ[12](1),MCD[15](2),UNH[23](7),WMT[28](11),
張數,24990,25982,20857,33453,
FS( 142 ),2547730.899999999906868,3031072.080000000074506,2415737.719999999739230,1968766.360000000102445,9963307.060000000521541
FS( 143 ),2538484.600000000093132,3057833.540000000037253,2448900.350000000093132,1992183.459999999962747,10037401.949999999254942
FS( 144 ),2566723.299999999813735,3058613.000000000000000,2449526.060000000055879,2025301.929999999934807,10100164.289999999105930
FS( 145 ),2586215.500000000000000,3086673.560000000055879,2475597.310000000055879,2043701.080000000074506,10192187.450000001117587
FS( 146 ),2591963.199999999720603,3080697.699999999720603,2468297.359999999869615,2035003.300000000046566,10175961.560000000521541
FS( 147 ),2579468.199999999720603,3085374.459999999962747,2468088.790000000037253,2032327.060000000055879,10165258.509999999776483
FS( 148 ),2599710.100000000093132,3119670.699999999720603,2499165.719999999739230,2061096.640000000130385,10279643.160000000149012
FS( 149 ),2593462.600000000093132,3103042.220000000204891,2480394.419999999925494,2063438.350000000093132,10240337.589999999850988
FS( 150 ),2566973.199999999720603,3069525.439999999944121,2453697.459999999962747,2050726.209999999962747,10140922.309999998658895
FS( 151 ),2510995.600000000093132,3054975.520000000018626,2429086.199999999720603,2056078.690000000176951,10051136.009999999776483
FS( 152 ),2521491.399999999906868,3097066.359999999869615,2433674.740000000223517,2104920.070000000298023,10157152.570000000298023
FS( 153 ),2508746.500000000000000,3076280.760000000242144,2408854.909999999683350,2125995.459999999962747,10119877.629999998956919
FS( 154 ),2479508.199999999720603,3005090.080000000074506,2337941.109999999869615,2175505.899999999906868,9998045.289999999105930
FS( 155 ),2453018.799999999813735,3000413.320000000298023,2297687.100000000093132,2125660.930000000167638,9876780.150000000372529
FS( 156 ),2438274.699999999720603,3031851.540000000037253,2285590.040000000037253,2148408.970000000204891,9904125.250000000000000
FS( 157 ),2455018.000000000000000,3051338.040000000037253,2341486.800000000279397,2128337.169999999925494,9976180.009999999776483
FS( 158 ),2424530.199999999720603,2991059.800000000279397,2278290.089999999850988,2071467.070000000065193,9765347.160000000149012
FS( 159 ),2471261.500000000000000,3030032.800000000279397,2310201.300000000279397,2109603.490000000223517,9921099.090000001713634
FS( 160 ),2424030.399999999906868,2992618.720000000204891,2279124.370000000111759,2071801.600000000093132,9767575.089999999850988
FS( 161 ),2436525.399999999906868,3052896.959999999962747,2348161.040000000037253,2092876.990000000223517,9930460.390000000596046
FS( 162 ),2392792.899999999906868,3008207.919999999925494,2394255.010000000242144,2035337.830000000074506,9830593.660000000149012
FS( 163 ),2397541.000000000000000,3061730.839999999850988,2367349.479999999981374,2070128.950000000186265,9896750.269999999552965
FS( 164 ),2417782.899999999906868,3076280.760000000242144,2384660.790000000037253,2097225.879999999888241,9975950.330000000074506
FS( 165 ),2409036.399999999906868,3097066.359999999869615,2364846.639999999664724,2122650.160000000149012,9993599.559999998658895
FS( 166 ),2528488.600000000093132,3129024.220000000204891,2376943.699999999720603,2141049.310000000055879,10175505.830000000074506
FS( 167 ),2552978.799999999813735,3140456.300000000279397,2342946.790000000037253,2139376.660000000149012,10175758.550000000745058
FS( 168 ),2555727.699999999720603,3179689.119999999646097,2323132.639999999664724,2148408.970000000204891,10206958.429999999701977
FS( 169 ),2609956.000000000000000,3216063.919999999925494,2401972.100000000093132,2219998.390000000130385,10447990.410000000149012
FS( 170 ),2608206.700000000186265,3237628.979999999981374,2417197.709999999962747,2258134.810000000055879,10521168.199999999254942
FS( 171 ),2584216.299999999813735,3220480.859999999869615,2375275.139999999664724,2236724.890000000130385,10416697.189999999478459
FS( 172 ),2602459.000000000000000,3156045.500000000000000,2351706.729999999981374,2216987.620000000111759,10327198.850000001490116
FS( 173 ),2596461.399999999906868,3135000.080000000074506,2381949.379999999888241,2222005.570000000298023,10335416.429999999701977
FS( 174 ),2512495.000000000000000,2998334.760000000242144,2330224.020000000018626,2241408.310000000055879,10082462.089999999850988
