代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11692860.000000000000
真實報酬,1692860.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15829.541930737509
風險,104788.504436271930
起點值,0.151061817476
找到最佳解世代,1629
找到最佳解實驗#,1
找到最佳解次數,37

投資組合檔數,10
1216(2)[20],1301(3)[18],2408(23)[3],2454(26)[2],2881(31)[10],2884(34)[4],2890(38)[6],2891(39)[19],2912(41)[42],5880(47)[1],
Stock#,1216(2)[20],1301(3)[18],2408(23)[3],2454(26)[2],2881(31)[10],2884(34)[4],2890(38)[6],2891(39)[19],2912(41)[42],5880(47)[1],
張數,17,11,19,4,22,59,116,54,3,68,
FS( 86 ),1077010.000000000000,1084920.000000000000,1644860.000000000000,1270680.000000000000,1064900.000000000000,1074930.000000000000,1056840.000000000000,1047520.000000000200,971260.000000000000,1085000.000000000000,11377920.000000000000
FS( 87 ),1082110.000000000000,1071720.000000000000,1679060.000000000000,1284680.000000000000,1064900.000000000000,1074930.000000000000,1053360.000000000000,1047520.000000000200,957760.000000000000,1074800.000000000000,11390840.000000000000
FS( 88 ),1102510.000000000000,1075020.000000000000,1679060.000000000000,1258680.000000000000,1071500.000000000000,1071980.000000000000,1055680.000000000000,1042120.000000000100,972760.000000000000,1078200.000000000000,11407510.000000000000
FS( 89 ),1092310.000000000000,1075020.000000000000,1688560.000000000000,1286680.000000000000,1069300.000000000200,1074930.000000000000,1055680.000000000000,1047520.000000000200,969760.000000000000,1078200.000000000000,11437960.000000000000
FS( 90 ),1087210.000000000000,1075020.000000000000,1772160.000000000000,1272680.000000000000,1074800.000000000200,1074930.000000000000,1059160.000000000000,1044820.000000000100,968260.000000000000,1078200.000000000000,11507240.000000000000
FS( 91 ),1100810.000000000000,1068420.000000000000,1736060.000000000000,1272680.000000000000,1069300.000000000200,1077880.000000000000,1060320.000000000000,1052920.000000000000,963760.000000000000,1081600.000000000000,11483750.000000000000
FS( 92 ),1095710.000000000000,1068420.000000000000,1707560.000000000000,1260680.000000000000,1067100.000000000000,1083780.000000000000,1063800.000000000000,1050220.000000000000,965260.000000000000,1088400.000000000000,11450930.000000000000
FS( 93 ),1104210.000000000000,1077220.000000000000,1660060.000000000000,1284680.000000000000,1071500.000000000000,1086730.000000000000,1064960.000000000000,1063720.000000000000,968260.000000000000,1091800.000000000000,11473140.000000000000
FS( 94 ),1124610.000000000000,1103620.000000000000,1679060.000000000000,1344680.000000000000,1073700.000000000000,1092630.000000000000,1067280.000000000000,1061020.000000000200,989260.000000000000,1098600.000000000000,11634460.000000000000
FS( 95 ),1136510.000000000000,1105819.999999999800,1680960.000000000000,1334680.000000000000,1074800.000000000200,1086730.000000000000,1066120.000000000000,1061020.000000000200,986260.000000000000,1108800.000000000200,11641700.000000000000
FS( 96 ),1133110.000000000000,1093720.000000000000,1703759.999999999500,1408680.000000000000,1079200.000000000000,1089680.000000000000,1066120.000000000000,1063720.000000000000,986260.000000000000,1115600.000000000000,11739850.000000000000
FS( 97 ),1126310.000000000200,1090420.000000000000,1737960.000000000000,1424680.000000000000,1082500.000000000000,1095580.000000000000,1071920.000000000000,1066420.000000000000,987760.000000000000,1112199.999999999800,11795750.000000000000
FS( 98 ),1133110.000000000000,1093720.000000000000,1682860.000000000000,1404680.000000000000,1082500.000000000000,1095580.000000000000,1078880.000000000000,1069120.000000000000,987760.000000000000,1119000.000000000000,11747210.000000000000
FS( 99 ),1112709.999999999800,1088220.000000000000,1686660.000000000000,1378680.000000000000,1071500.000000000000,1089680.000000000000,1074240.000000000000,1061020.000000000200,993760.000000000000,1112199.999999999800,11668670.000000000000
FS( 100 ),1105910.000000000000,1086020.000000000000,1692360.000000000000,1386680.000000000000,1069300.000000000200,1092630.000000000000,1075400.000000000000,1063720.000000000000,998260.000000000000,1119000.000000000000,11689280.000000000000
FS( 101 ),1104210.000000000000,1086020.000000000000,1709460.000000000000,1372680.000000000000,1070400.000000000000,1089680.000000000000,1076560.000000000000,1063720.000000000000,1008760.000000000000,1112199.999999999800,11693690.000000000000
FS( 102 ),1129709.999999999800,1073920.000000000000,1711360.000000000000,1402680.000000000000,1071500.000000000000,1089680.000000000000,1075400.000000000000,1063720.000000000000,1029760.000000000000,1112199.999999999800,11759930.000000000000
FS( 103 ),1117810.000000000200,1077220.000000000000,1694259.999999999500,1406680.000000000000,1069300.000000000200,1086730.000000000000,1077720.000000000000,1063720.000000000000,1026760.000000000000,1122400.000000000000,11742600.000000000000
FS( 104 ),1100810.000000000000,1077220.000000000000,1684759.999999999500,1432680.000000000000,1075900.000000000000,1089680.000000000000,1077720.000000000000,1066420.000000000000,1028260.000000000000,1129199.999999999800,11762650.000000000000
FS( 105 ),1090610.000000000000,1077220.000000000000,1709460.000000000000,1474680.000000000000,1073700.000000000000,1083780.000000000000,1080040.000000000000,1058320.000000000000,1026760.000000000000,1119000.000000000000,11793570.000000000000
FS( 106 ),1095710.000000000000,1076120.000000000000,1633460.000000000000,1440680.000000000000,1082500.000000000000,1086730.000000000000,1081200.000000000500,1066420.000000000000,1028260.000000000000,1122400.000000000000,11713480.000000000000
FS( 107 ),1097410.000000000000,1072819.999999999800,1629660.000000000000,1458680.000000000000,1086900.000000000000,1089680.000000000000,1075400.000000000000,1061020.000000000200,1019260.000000000000,1122400.000000000000,11713230.000000000000
FS( 108 ),1094010.000000000000,1076120.000000000000,1603060.000000000000,1490680.000000000000,1088000.000000000000,1086730.000000000000,1075400.000000000000,1058320.000000000000,1019260.000000000000,1122400.000000000000,11713980.000000000000
FS( 109 ),1099110.000000000000,1070620.000000000000,1707560.000000000000,1472680.000000000000,1090200.000000000000,1092630.000000000000,1076560.000000000000,1058320.000000000000,1020760.000000000000,1125800.000000000200,11814240.000000000000
FS( 110 ),1082110.000000000000,1071720.000000000000,1673360.000000000000,1464680.000000000000,1094600.000000000000,1089680.000000000000,1076560.000000000000,1066420.000000000000,1028260.000000000000,1122400.000000000000,11769790.000000000000
