代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12086699.999450000000
真實報酬,2086699.999450000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18206.861467484527
風險,108649.283793481940
起點值,0.167574611003
找到最佳解世代,2394
找到最佳解實驗#,5
找到最佳解次數,7

投資組合檔數,9
1326(5)[28],2207(12)[10],2301(13)[8],2308(15)[14],2357(24)[19],2881(33)[2],2912(41)[4],3673(47)[5],9999(50)[35],
Stock#,1326(5)[28],2207(12)[10],2301(13)[8],2308(15)[14],2357(24)[19],2881(33)[2],2912(41)[4],3673(47)[5],9999(50)[35],
張數,19,6,37,12,4,41,8,2,-1,
FS( 69 ),1172291.000000000000,1269151.000000000000,1309431.000000000000,1257390.999999999500,1210471.000000000000,1400161.000000000000,1170231.000000000000,1357271.000000000000,1111111.000000000000,11257510.000000000000
FS( 70 ),1148731.000000000000,1238070.999999999800,1338291.000000000000,1232190.999999999800,1207591.000000000000,1405081.000000000000,1159751.000000000000,1370331.000000000000,1111111.000000000000,11211150.000000000000
FS( 71 ),1148731.000000000000,1256251.000000000000,1354941.000000000000,1237230.999999999800,1207591.000000000000,1416971.000000000200,1166711.000000000000,1357271.000000000000,1111111.000000000000,11256810.000000000000
FS( 72 ),1145501.000000000000,1261411.000000000000,1341250.999999999800,1257390.999999999500,1191751.000000000000,1401800.999999999800,1170231.000000000000,1342351.000000000000,1111111.000000000000,11222800.000000000000
FS( 73 ),1153481.000000000000,1261411.000000000000,1349391.000000000200,1262430.999999999800,1191751.000000000000,1415331.000000000000,1198071.000000000000,1355411.000000000000,1111111.000000000000,11298390.000000000000
FS( 74 ),1134671.000000000000,1240651.000000000000,1342361.000000000000,1262430.999999999800,1210471.000000000000,1405081.000000000000,1215431.000000000000,1366591.000000000000,1111111.000000000000,11288800.000000000000
FS( 75 ),1118901.000000000000,1256251.000000000000,1360491.000000000000,1272510.999999999800,1229231.000000000000,1443621.000000000000,1208471.000000000000,1359131.000000000000,1111111.000000000000,11359720.000000000000
FS( 76 ),1092301.000000000000,1248451.000000000000,1357901.000000000000,1297710.999999999800,1217711.000000000000,1435421.000000000000,1201511.000000000000,1355411.000000000000,1111111.000000000000,11317530.000000000000
FS( 77 ),1121941.000000000000,1295070.999999999800,1349391.000000000200,1322910.999999999800,1223471.000000000000,1437060.999999999800,1215431.000000000000,1355411.000000000000,1111111.000000000000,11431800.000000000000
FS( 78 ),1132961.000000000000,1266570.999999999800,1338291.000000000000,1348230.999999999800,1216271.000000000000,1408361.000000000000,1222391.000000000000,1347951.000000000000,1111111.000000000000,11392140.000000000000
FS( 79 ),1147211.000000000000,1266570.999999999800,1381211.000000000000,1353270.999999999800,1201831.000000000000,1371871.000000000000,1229351.000000000000,1370331.000000000000,1111111.000000000000,11432760.000000000000
FS( 80 ),1121941.000000000000,1282111.000000000000,1427091.000000000000,1353270.999999999800,1200391.000000000000,1373511.000000000200,1239751.000000000000,1383371.000000000000,1111111.000000000000,11492550.000000000000
FS( 81 ),1095341.000000000000,1243291.000000000000,1401931.000000000000,1327950.999999999500,1171591.000000000000,1339891.000000000000,1222391.000000000000,1387111.000000000000,1111111.000000000000,11300610.000000000000
FS( 82 ),1095341.000000000000,1214791.000000000000,1399341.000000000000,1333111.000000000000,1173031.000000000000,1343581.000000000000,1222391.000000000000,1377791.000000000000,1111111.000000000000,11270490.000000000000
FS( 83 ),1092301.000000000000,1230330.999999999800,1407480.999999999800,1338150.999999999800,1175911.000000000000,1373511.000000000200,1239751.000000000000,1420671.000000000000,1111111.000000000000,11389220.000000000000
FS( 84 ),1101611.000000000000,1282111.000000000000,1438191.000000000000,1353270.999999999800,1184551.000000000000,1376790.999999999800,1271111.000000000000,1431871.000000000000,1111111.000000000000,11550620.000000000000
FS( 85 ),1109401.000000000000,1251031.000000000000,1435230.999999999800,1363350.999999999800,1129831.000000000000,1380070.999999999800,1330231.000000000000,1431871.000000000000,1111111.000000000000,11542130.000000000000
FS( 86 ),1100091.000000000000,1248451.000000000000,1429681.000000000000,1398630.999999999500,1086591.000000000000,1358341.000000000000,1340711.000000000000,1418811.000000000000,1111111.000000000000,11492420.000000000000
FS( 87 ),1095341.000000000000,1271791.000000000000,1396381.000000000000,1398630.999999999500,1121191.000000000000,1356701.000000000000,1347671.000000000000,1422551.000000000000,1111111.000000000000,11521370.000000000000
FS( 88 ),1096861.000000000000,1302871.000000000000,1418581.000000000000,1398630.999999999500,1132711.000000000000,1359981.000000000200,1347671.000000000000,1416951.000000000000,1111111.000000000000,11585370.000000000000
FS( 89 ),1090591.000000000000,1302871.000000000000,1401931.000000000000,1398630.999999999500,1126951.000000000000,1356701.000000000000,1319831.000000000000,1402031.000000000000,1111111.000000000000,11510650.000000000000
FS( 90 ),1100091.000000000000,1328791.000000000000,1410441.000000000000,1398630.999999999500,1139911.000000000000,1383351.000000000000,1312871.000000000000,1426271.000000000000,1111111.000000000000,11611470.000000000000
FS( 91 ),1106361.000000000000,1320991.000000000200,1429681.000000000000,1403670.999999999800,1144231.000000000000,1403441.000000000000,1305911.000000000000,1400171.000000000000,1111111.000000000000,11625570.000000000000
FS( 92 ),1109401.000000000000,1310611.000000000000,1438191.000000000000,1398630.999999999500,1157191.000000000000,1401800.999999999800,1312871.000000000000,1333031.000000000000,1111111.000000000000,11572840.000000000000
