代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,14331331.976250000000
真實報酬,4331331.976250000300

夏普值報酬,0.424433197625
夏普值風險,0.098580460479
夏普值,4.305449533943

預期報酬,33344.898354072924
風險,168375.049322275910
起點值,0.198039427387
找到最佳解世代,2946
找到最佳解實驗#,3
找到最佳解次數,37

投資組合檔數,8
1216(2),1301(3),1326(5),1722(7),2412(24),2498(27),2892(38),3045(40),
Stock#,1216(2),1301(3),1326(5),1722(7),2412(24),2498(27),2892(38),3045(40),
張數,63,27,24,19,24,3,139,27,
FS( 86 ),1558234.697750000100,1738736.848249999800,1575798.169999999900,1537079.051249999800,1471459.742000000300,1949236.533500000400,1466889.622999999700,1395668.692250000100,12693103.358000001000
FS( 87 ),1603393.979749999900,1772068.699249999800,1596824.713999999900,1565642.098000000000,1479583.634000000100,2064763.056499999900,1495950.457249999700,1403732.849750000100,12981959.488499999000
FS( 88 ),1583950.400000000100,1762122.904999999800,1596824.713999999900,1537079.051249999800,1477433.192000000300,2062343.809250000200,1491798.909499999600,1403732.849750000100,12915285.830750000000
FS( 89 ),1597121.857249999900,1772068.699249999800,1589656.574000000000,1537079.051249999800,1491769.472000000100,2079188.938249999900,1491798.909499999600,1399700.770999999900,12958384.272499999000
FS( 90 ),1620955.922749999900,1793573.119249999800,1594913.210000000200,1551265.994999999900,1495831.418000000100,2105681.189000000200,1498718.155749999900,1393518.250250000000,13054457.259999998000
FS( 91 ),1638517.865749999900,1838732.401250000100,1671612.307999999700,1651520.397500000200,1513990.706000000000,2115298.443500000100,1509788.949749999900,1399700.770999999900,13339161.842750000000
FS( 92 ),1663606.355749999900,1870182.615500000100,1697895.488000000400,1716023.701750000000,1536450.878000000000,2148988.701500000400,1502869.703499999600,1395668.692250000100,13531686.136250000000
FS( 93 ),1659843.082249999700,1872064.252249999900,1701479.557999999700,1701647.598749999900,1574919.895999999900,2156216.575999999900,1491798.909499999600,1399700.770999999900,13557670.643749999000
FS( 94 ),1646044.412749999900,1860236.821250000000,1704824.689999999700,1673084.552000000100,1566796.004000000200,2163444.450499999800,1491798.909499999600,1412065.812500000000,13518295.652500000000
FS( 95 ),1636009.016750000000,1826904.970250000200,1659426.470000000000,1680272.603500000200,1544574.770000000300,2124915.697999999900,1480728.115499999600,1403732.849750000100,13356564.493750002000
FS( 96 ),1610920.526750000000,1773950.336000000400,1621196.389999999700,1637333.453750000300,1524265.040000000000,2124915.697999999900,1451667.281250000000,1405883.291750000100,13150132.017500000000
