代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14797106.320000000298023
真實報酬,4797106.320000000298023

夏普值報酬,0.471010632000000
夏普值風險,0.111191112017784
夏普值,4.236045700529260

二次趨勢線,9.642768417028414 x^2 + 16199.530072352445131 x + 10000000.000000000000000
二次平均預期報酬,18629.507713443585089
風險,282126.501988947682548
二次平均趨勢值,0.066032462679360
一次趨勢線,18018.390076071744261 x + 10000000.000000000000000
一次預期報酬,18018.390076071744261
一次風險,290266.440737131109927
一次趨勢值,0.062075347154546
找到最佳解世代,2099
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
FS( 185 ),13104500.439999999478459,13104500.439999999478459
FS( 186 ),13007224.240000000223517,13007224.240000000223517
FS( 187 ),12996106.960000000894070,12996106.960000000894070
FS( 188 ),12998886.280000001192093,12998886.280000001192093
FS( 189 ),13135072.960000000894070,13135072.960000000894070
FS( 190 ),13406056.660000000149012,13406056.660000000149012
FS( 191 ),13545022.660000000149012,13545022.660000000149012
FS( 192 ),13622843.620000001043081,13622843.620000001043081
FS( 193 ),13540853.679999999701977,13540853.679999999701977
FS( 194 ),13607557.360000001266599,13607557.360000001266599
FS( 195 ),13499163.880000000819564,13499163.880000000819564
FS( 196 ),13578374.500000000000000,13578374.500000000000000
FS( 197 ),13656195.460000000894070,13656195.460000000894070
FS( 198 ),13793771.800000000745058,13793771.800000000745058
FS( 199 ),13790992.480000000447035,13790992.480000000447035
FS( 200 ),13682599.000000000000000,13682599.000000000000000
FS( 201 ),13685378.320000000298023,13685378.320000000298023
FS( 202 ),13895216.980000000447035,13895216.980000000447035
FS( 203 ),13796551.120000001043081,13796551.120000001043081
FS( 204 ),13866034.120000001043081,13866034.120000001043081
FS( 205 ),13931348.140000000596046,13931348.140000000596046
FS( 206 ),13836851.259999999776483,13836851.259999999776483
FS( 207 ),13872982.419999999925494,13872982.419999999925494
FS( 208 ),13745133.699999999254942,13745133.699999999254942
FS( 209 ),13695105.939999999478459,13695105.939999999478459
FS( 210 ),13679819.679999999701977,13679819.679999999701977
FS( 211 ),13739575.060000000521541,13739575.060000000521541
FS( 212 ),13770147.580000001937151,13770147.580000001937151
FS( 213 ),13747913.020000001415610,13747913.020000001415610
FS( 214 ),13695105.939999999478459,13695105.939999999478459
FS( 215 ),13675650.699999999254942,13675650.699999999254942
FS( 216 ),13838240.919999999925494,13838240.919999999925494
FS( 217 ),13903554.939999999478459,13903554.939999999478459
FS( 218 ),14060586.520000001415610,14060586.520000001415610
FS( 219 ),14080041.759999999776483,14080041.759999999776483
FS( 220 ),14235683.679999999701977,14235683.679999999701977
FS( 221 ),14106445.300000000745058,14106445.300000000745058
FS( 222 ),14160642.040000000968575,14160642.040000000968575
FS( 223 ),14135628.160000000149012,14135628.160000000149012
FS( 224 ),14242631.980000000447035,14242631.980000000447035
FS( 225 ),14127290.199999999254942,14127290.199999999254942
FS( 226 ),14168980.000000000000000,14168980.000000000000000
FS( 227 ),14316283.960000000894070,14316283.960000000894070
FS( 228 ),14299608.040000000968575,14299608.040000000968575
FS( 229 ),14389935.939999999478459,14389935.939999999478459
FS( 230 ),14459418.939999999478459,14459418.939999999478459
FS( 231 ),14402442.880000000819564,14402442.880000000819564
FS( 232 ),14417729.140000000596046,14417729.140000000596046
FS( 233 ),14409391.179999999701977,14409391.179999999701977
FS( 234 ),14373260.020000001415610,14373260.020000001415610
FS( 235 ),14403832.540000000968575,14403832.540000000968575
FS( 236 ),14587267.660000000149012,14587267.660000000149012
FS( 237 ),14544188.199999999254942,14544188.199999999254942
FS( 238 ),14542798.540000000968575,14542798.540000000968575
FS( 239 ),14556695.140000000596046,14556695.140000000596046
FS( 240 ),14599774.600000001490116,14599774.600000001490116
FS( 241 ),14692881.820000000298023,14692881.820000000298023
FS( 242 ),14788768.360000001266599,14788768.360000001266599
FS( 243 ),14709557.740000000223517,14709557.740000000223517
FS( 244 ),14737350.939999999478459,14737350.939999999478459
FS( 245 ),14731792.300000000745058,14731792.300000000745058
FS( 246 ),14335739.199999999254942,14335739.199999999254942
FS( 247 ),14409391.179999999701977,14409391.179999999701977
FS( 248 ),14352415.120000001043081,14352415.120000001043081
FS( 249 ),14710947.400000000372529,14710947.400000000372529
FS( 250 ),14560864.120000001043081,14560864.120000001043081
FS( 251 ),14797106.320000000298023,14797106.320000000298023
