代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12518265.079000000000
真實報酬,2518265.078999999900

夏普值報酬,0.243126507900
夏普值風險,0.067032179302
夏普值,3.627011838645

預期報酬,21129.908129323438
風險,152900.522317371940
起點值,0.138193825692
找到最佳解世代,4008
找到最佳解實驗#,1
找到最佳解次數,41

投資組合檔數,6
2227(11),2324(17),2474(26),3481(44),4904(45),4938(46),
Stock#,2227(11),2324(17),2474(26),3481(44),4904(45),4938(46),
張數,7,91,6,126,29,35,
FS( 103 ),1732666.716250000100,1974030.602999999900,2144057.007999999900,1802508.490000000000,1883645.384750000000,2568527.747499999600,12105439.949499998000
FS( 104 ),1732666.716250000100,1989432.148250000100,2122194.181000000300,1778674.424500000000,1873540.298500000000,2574451.418749999700,12070963.187249999000
FS( 105 ),1740681.095000000200,2019329.265500000000,2144057.007999999900,1784946.547000000000,1893461.754250000200,2580375.089999999900,12162854.759750001000
FS( 106 ),1713850.348750000100,2022953.158499999900,2124941.967999999900,1836377.951500000400,1878448.483250000000,2627764.460000000400,12204340.370000001000
FS( 107 ),1724582.647250000200,2022953.158499999900,2152240.634499999700,1831360.253499999900,1883645.384750000000,2651459.145000000000,12266245.223499998000
FS( 108 ),1692455.442000000300,2011175.506249999900,2138561.433999999900,1784946.547000000000,1816374.381999999800,2586298.761250000000,12029816.072500000000
FS( 109 ),1679005.223750000100,2138917.734500000300,2144057.007999999900,1784946.547000000000,1799051.376999999900,2627764.460000000400,12173746.350250002000
FS( 110 ),1689737.522250000200,2105396.724250000000,2154928.687000000400,1802508.490000000000,1803959.561749999600,2589434.822499999800,12145969.807750002000
FS( 111 ),1711202.119250000500,2079123.500000000000,2149492.847499999700,1802508.490000000000,1826190.751500000000,2607205.836249999200,12175727.544499999000
FS( 112 ),1700469.820750000000,2093619.071999999900,2171295.939999999900,1807526.188000000100,1838894.288500000000,2562952.527499999900,12174761.836750001000
FS( 113 ),1700469.820750000000,2127140.082250000000,2302293.698499999900,1784946.547000000000,1828789.202249999900,2609993.446250000000,12353636.796999998000
FS( 114 ),1721934.417750000300,2116268.403250000000,2280490.606000000100,1818816.008500000000,1853618.842750000300,2784915.973749999900,12576048.252000000000
FS( 115 ),1727300.567000000300,2116268.403250000000,2288674.232499999900,1860212.017000000000,1861125.478250000200,2787703.583750000700,12641288.281750001000
FS( 116 ),1751413.393500000000,2116268.403250000000,2307789.272500000000,1871501.837499999900,1861125.478250000200,2790839.645000000000,12698942.029999999000
FS( 117 ),1729948.796500000200,2075499.607000000300,2285926.445499999900,1853939.894499999700,1846112.207250000000,2761221.288749999800,12552652.239500001000
FS( 118 ),1788906.748000000100,2033824.837499999900,2144057.007999999900,1836377.951500000400,1826190.751500000000,2734390.542500000000,12363751.839000000000
FS( 119 ),1823751.873000000100,2093619.071999999900,2198594.606500000200,1860212.017000000000,1831387.652999999900,2710695.857499999900,12518265.079000000000
